State,Fav Candy,sugar(g),Overall Score,Overall Rank,Oral Health Score,Oral Health Ranking
Alabama , AirHeads,6,54.5,45,23.7,43
Alaska , Snickers,8.5,57.7,42,9.5,50
Arizona , Toblerone,10,64.5,36,33.7,20
Arkansas , Skittles,14.5,39.2,50,15.1,47
California , Lifesavers,9,66.8,34,21.7,44
Colorado , Milky Way,10,80.9,19,27.6,32
Connecticut , Reese's Peanut Butter Cups,10.5,100.5,2,45,3
Delaware , 3 Musketeers,10,70.6,28,28.7,30
Florida , Nestlé Crunch Bar,7,56.8,43,26.4,39
Georgia , Pixy Stix,15,63.8,39,28.4,31
Hawaii , 100 Grand Bar,11,72.2,27,39.1,11
Idaho , Butterfinger,10,68.1,30,26.5,36
Illinois , Snickers,8.5,100.1,3,55.8,1
Indiana , Reese's Pieces,7.3,83.5,14,40.7,9
Iowa , Twix,8.5,83.5,13,34.2,17
Kansas , Twizzlers,7,77.5,22,35.8,15
Kentucky , Whoppers,13,67.4,33,26.5,37
Louisiana , Swedish Fish,11,45.2,49,18,45
Maine , Starburst,13,63.7,40,24,41
Maryland , Almond Joy,8,81.5,18,34,19
Massachusetts , Starburst,13,96.9,4,39.1,10
Michigan , M&M's,11.5,93.2,5,42,6
Minnesota , 100 Grand Bar,11,103.4,1,46.4,2
Mississippi , Hershey's Kisses,2.3,51.5,47,15.8,46
Missouri , Hershey's Kisses,2.3,65.5,35,35.4,16
Montana , Kit Kat Bar,7,48.5,48,12.3,48
Nebraska , Skittles,14.5,84.8,10,36.3,13
Nevada , Jolly Ranchers,11,55.4,44,25,40
New Hampshire , Tootsie Rolls,8,81.6,17,34.2,18
New Jersey , Sour Patch Kids,10,84.7,11,43,4
New Mexico , 3 Musketeers,10,69,29,27.2,33
New York , Sweet Tarts,2.4,84.2,12,33.2,21
North Carolina , Butterfinger,10,72.6,25,29.7,28
North Dakota , Sour Patch Kids,10,74.7,23,32.4,23
Ohio , Milky Way,10,78.3,21,42.7,5
Oklahoma , M&M's,11.5,63.1,41,28.9,29
Oregon , Candy corn,16.5,72.3,26,26.4,38
Pennsylvania , Swedish Fish,11,73.4,24,36.7,12
Rhode Island , Reese's Peanut Butter Cups,10.5,89.3,8,33.1,22
South Carolina , Candy corn,16.5,67.7,31,26.9,35
South Dakota , Laffy Taffy,5.4,83.1,15,30.1,26
Tennessee , Candy corn,16.5,64.3,37,31.6,24
Texas , Candy corn,16.5,63.9,38,23.8,42
Utah , Nerds,12,81.8,16,30.5,25
Vermont , Almond Joy,8,80,20,27,34
Virginia , Reese's Pieces,7.3,90.7,6,41.9,7
Washington , AirHeads,6,89.2,9,36.1,14
West Virginia , Oreos,7,52.5,46,11.2,49
Wisconsin , Laffy Taffy,5.4,90.6,7,41,8
Wyoming , Candy corn,16.5,67.5,32,29.8,27