state,Candy,cal,fat(g),sugar(g),state,Overall Score,Overall Rank,Habits & Care Score,Habits & Care Ranking,Oral Health Score,Oral Health Ranking
Alabama , AirHeads,45,1.3,6,Alabama,54.5,45,30.9,44,23.7,43
Alaska , Snickers,80,4,8.5,Alaska,57.7,42,48.2,16,9.5,50
Arizona , Toblerone,90,5,10,Arizona,64.5,36,30.8,45,33.7,20
Arkansas , Skittles,80,0.8,14.5,Arkansas,39.2,50,24.1,50,15.1,47
California , Lifesavers,45,0,9,California,66.8,34,45,20,21.7,44
Colorado , Milky Way,80,3,10,Colorado,80.9,19,53.3,5,27.6,32
Connecticut , Reese's Peanut Butter Cups,110,6.5,10.5,Connecticut,100.5,2,55.5,4,45,3
Delaware , 3 Musketeers,63,2,10,Delaware,70.6,28,42,25,28.7,30
Florida , Nestlé Crunch Bar,60,3,7,Florida,56.8,43,30.5,46,26.4,39
Georgia , Pixy Stix,60,0,15,Georgia,63.8,39,35.4,40,28.4,31
Hawaii , 100 Grand Bar,95,4,11,Hawaii,72.2,27,33.2,42,39.1,11
Idaho , Butterfinger,85,4,10,Idaho,68.1,30,41.6,29,26.5,36
Illinois , Snickers,80,4,8.5,Illinois,100.1,3,44.3,21,55.8,1
Indiana , Reese's Pieces,67,2.7,7.3,Indiana,83.5,14,42.8,23,40.7,9
Iowa , Twix,80,7,8.5,Iowa,83.5,13,49.3,13,34.2,17
Kansas , Twizzlers,60,2.5,7,Kansas,77.5,22,41.7,28,35.8,15
Kentucky , Whoppers,100,4,13,Kentucky,67.4,33,40.9,31,26.5,37
Louisiana , Swedish Fish,50,0,11,Louisiana,45.2,49,27.2,49,18,45
Maine , Starburst,50,0,13,Maine,63.7,40,39.7,34,24,41
Maryland , Almond Joy,80,4.5,8,Maryland,81.5,18,47.4,17,34,19
Massachusetts , Starburst,50,0,13,Massachusetts,96.9,4,57.8,1,39.1,10
Michigan , M&M's,73,4,11.5,Michigan,93.2,5,51.2,10,42,6
Minnesota , 100 Grand Bar,95,4,11,Minnesota,103.4,1,57.1,2,46.4,2
Mississippi , Hershey's Kisses,25,0.9,2.3,Mississippi,51.5,47,35.7,38,15.8,46
Missouri , Hershey's Kisses,25,0.9,2.3,Missouri,65.5,35,30.1,48,35.4,16
Montana , Kit Kat Bar,70,3,7,Montana,48.5,48,36.2,37,12.3,48
Nebraska , Skittles,80,0.8,14.5,Nebraska,84.8,10,48.6,15,36.3,13
Nevada , Jolly Ranchers,70,0,11,Nevada,55.4,44,30.4,47,25,40
New Hampshire , Tootsie Rolls,50,0.2,8,New Hampshire,81.6,17,47.4,18,34.2,18
New Jersey , Sour Patch Kids,50,0,10,New Jersey,84.7,11,41.7,27,43,4
New Mexico , 3 Musketeers,63,2,10,New Mexico,69,29,41.8,26,27.2,33
New York , Sweet Tarts,10,0,2.4,New York,84.2,12,51,11,33.2,21
North Carolina , Butterfinger,85,4,10,North Carolina,72.6,25,42.9,22,29.7,28
North Dakota , Sour Patch Kids,50,0,10,North Dakota,74.7,23,42.3,24,32.4,23
Ohio , Milky Way,80,3,10,Ohio,78.3,21,35.6,39,42.7,5
Oklahoma , M&M's,73,4,11.5,Oklahoma,63.1,41,34.1,41,28.9,29
Oregon , Candy corn,75,0,16.5,Oregon,72.3,26,45.9,19,26.4,38
Pennsylvania , Swedish Fish,50,0,11,Pennsylvania,73.4,24,36.7,36,36.7,12
Rhode Island , Reese's Peanut Butter Cups,110,6.5,10.5,Rhode Island,89.3,8,56.1,3,33.1,22
South Carolina , Candy corn,75,0,16.5,South Carolina,67.7,31,40.8,32,26.9,35
South Dakota , Laffy Taffy,31,0.3,5.4,South Dakota,83.1,15,53,7,30.1,26
Tennessee , Candy corn,75,0,16.5,Tennessee,64.3,37,32.7,43,31.6,24
Texas , Candy corn,75,0,16.5,Texas,63.9,38,40.1,33,23.8,42
Utah , Nerds,50,0,12,Utah,81.8,16,51.3,9,30.5,25
Vermont , Almond Joy,80,4.5,8,Vermont,80,20,53,8,27,34
Virginia , Reese's Pieces,67,2.7,7.3,Virginia,90.7,6,48.8,14,41.9,7
Washington , AirHeads,45,1.3,6,Washington,89.2,9,53,6,36.1,14
West Virginia , Oreos,100,3.5,7,West Virginia,52.5,46,41.4,30,11.2,49
Wisconsin , Laffy Taffy,31,0.3,5.4,Wisconsin,90.6,7,49.6,12,41,8
Wyoming , Candy corn,75,0,16.5,Wyoming,67.5,32,37.6,35,29.8,27